年纪,工作性质,家庭收入,学位,婚姻状况,工作类型,家庭情况,族裔,性别,工作地点,标签
70,Government,171425,Master,Widowed,Full-time,Living with Family,White,Female,Urban,1
39,Government,156755,Master,Single,Full-time,Living Alone,Other,Female,Rural,1
38,Private,130151,Highschool,Divorced,Contract,Living Alone,Asian,Male,Rural,1
38,Government,109071,PhD,Married,Intern,Living Alone,White,Male,Urban,1
36,Government,24561,PhD,Divorced,Full-time,Living Alone,White,Male,Suburban,0
68,Government,24638,Highschool,Widowed,Full-time,Living with Family,White,Female,Suburban,0
53,Private,132683,PhD,Divorced,Contract,Living Alone,Hispanic,Female,Urban,1
41,Government,105221,Master,Divorced,Part-time,Living Alone,White,Female,Rural,1
19,Private,50423,PhD,Married,Part-time,Living with Roommates,Other,Female,Suburban,1
66,Private,194085,Bachelor,Married,Full-time,Living with Family,Other,Male,Rural,1
69,Unemployed,154315,Highschool,Divorced,Intern,Living Alone,White,Female,Rural,1
33,Unemployed,71113,Master,Single,Contract,Living with Family,Asian,Male,Rural,1
60,Private,99817,Highschool,Divorced,Contract,Living with Family,White,Female,Suburban,1
39,Self-emp,58577,Master,Single,Part-time,Living with Roommates,Hispanic,Male,Urban,1
44,Government,125799,Highschool,Married,Intern,Living Alone,White,Female,Suburban,1
32,Self-emp,134980,PhD,Divorced,Full-time,Living with Family,Hispanic,Female,Rural,1
24,Unemployed,138513,Master,Divorced,Part-time,Living with Family,White,Male,Suburban,1
28,Government,11221,PhD,Divorced,Full-time,Living with Roommates,Black,Male,Urban,0
36,Private,94853,Highschool,Widowed,Part-time,Living with Roommates,Other,Male,Suburban,1
43,Government,121471,Master,Divorced,Part-time,Living with Roommates,White,Female,Suburban,1
59,Private,19240,Highschool,Single,Contract,Living Alone,White,Female,Suburban,0
30,Unemployed,175629,Bachelor,Married,Intern,Living with Roommates,Black,Male,Rural,1
52,Private,12664,Master,Widowed,Full-time,Living with Family,Other,Female,Rural,0
19,Private,24876,PhD,Single,Full-time,Living Alone,White,Female,Urban,0
66,Government,118688,PhD,Divorced,Contract,Living Alone,Hispanic,Female,Rural,1
49,Government,17862,Bachelor,Married,Full-time,Living with Roommates,Black,Female,Urban,0
47,Self-emp,15122,Master,Married,Contract,Living with Roommates,Other,Male,Urban,0
57,Private,43492,PhD,Single,Intern,Living with Family,White,Female,Urban,0
23,Self-emp,50556,PhD,Married,Intern,Living Alone,White,Female,Urban,1
55,Private,85148,Highschool,Divorced,Full-time,Living with Roommates,Black,Male,Suburban,1
60,Private,77786,PhD,Married,Part-time,Living with Roommates,Black,Female,Suburban,1
39,Private,72196,PhD,Widowed,Full-time,Living with Family,Hispanic,Female,Urban,1
23,Unemployed,35224,Bachelor,Married,Contract,Living with Family,Other,Male,Rural,0
60,Private,115916,Master,Single,Intern,Living with Roommates,Hispanic,Male,Rural,1
53,Self-emp,154193,Bachelor,Divorced,Full-time,Living with Family,Black,Female,Rural,1
51,Private,113517,Master,Single,Part-time,Living with Family,White,Female,Urban,1
19,Self-emp,12228,PhD,Widowed,Full-time,Living with Family,Black,Male,Urban,0
42,Unemployed,168635,Master,Married,Part-time,Living with Family,Black,Male,Rural,1
39,Unemployed,107310,PhD,Divorced,Intern,Living with Roommates,Asian,Female,Urban,1
48,Unemployed,56195,PhD,Divorced,Contract,Living Alone,White,Female,Urban,1
70,Self-emp,88581,Bachelor,Married,Intern,Living with Roommates,Other,Male,Rural,1
69,Unemployed,52013,PhD,Divorced,Intern,Living with Family,Other,Male,Urban,1
54,Private,104841,Bachelor,Divorced,Contract,Living with Family,White,Male,Urban,1
34,Unemployed,118176,Bachelor,Divorced,Intern,Living with Roommates,Black,Male,Suburban,1
56,Self-emp,86175,Highschool,Widowed,Contract,Living with Roommates,Other,Male,Rural,1
51,Private,87383,Highschool,Widowed,Intern,Living Alone,Other,Female,Rural,1
52,Private,185596,Bachelor,Widowed,Part-time,Living Alone,Hispanic,Female,Suburban,1
45,Private,89461,Highschool,Married,Full-time,Living Alone,Black,Female,Rural,1
41,Private,121865,Master,Divorced,Contract,Living with Family,Black,Male,Rural,1
63,Unemployed,167241,Highschool,Widowed,Full-time,Living with Roommates,Hispanic,Female,Urban,1
45,Government,12386,Master,Widowed,Contract,Living with Family,Asian,Female,Suburban,0
35,Government,90941,Highschool,Single,Contract,Living Alone,Other,Female,Rural,1
68,Unemployed,30101,Highschool,Single,Part-time,Living with Roommates,Other,Female,Suburban,0
54,Private,54773,Bachelor,Single,Full-time,Living Alone,Other,Female,Suburban,1
56,Self-emp,146766,Highschool,Married,Intern,Living with Family,White,Female,Suburban,1
64,Private,160800,Master,Divorced,Full-time,Living Alone,White,Male,Rural,1
54,Private,71363,Highschool,Single,Full-time,Living Alone,Hispanic,Male,Suburban,1
31,Private,169856,Highschool,Divorced,Contract,Living with Family,Black,Female,Urban,1
41,Private,45268,PhD,Widowed,Part-time,Living Alone,Black,Male,Rural,0
67,Unemployed,115928,Highschool,Widowed,Contract,Living with Roommates,Black,Female,Suburban,1
68,Private,50811,Bachelor,Married,Intern,Living Alone,Hispanic,Female,Suburban,1
67,Private,199146,Bachelor,Married,Full-time,Living Alone,White,Male,Suburban,1
34,Self-emp,127585,Master,Married,Full-time,Living with Family,White,Female,Urban,1
53,Government,167332,Highschool,Widowed,Contract,Living with Family,Asian,Male,Suburban,1
60,Self-emp,192608,Highschool,Divorced,Part-time,Living with Family,Black,Male,Rural,1
69,Private,76166,Master,Single,Intern,Living Alone,Black,Female,Rural,1
46,Government,79107,Bachelor,Single,Contract,Living with Roommates,White,Male,Rural,1
25,Private,22626,Bachelor,Single,Full-time,Living with Roommates,Hispanic,Male,Rural,0
51,Self-emp,72304,Highschool,Widowed,Full-time,Living Alone,Asian,Female,Urban,1
37,Private,61329,Highschool,Divorced,Part-time,Living Alone,Black,Male,Urban,1
50,Government,119552,Master,Single,Contract,Living with Family,Asian,Male,Urban,1
39,Private,39413,Master,Widowed,Contract,Living with Roommates,White,Female,Rural,0
39,Self-emp,84065,Highschool,Single,Contract,Living Alone,White,Female,Urban,1
61,Private,68368,Master,Widowed,Intern,Living with Family,Other,Male,Rural,1
18,Self-emp,77641,Highschool,Married,Contract,Living Alone,Asian,Female,Urban,1
37,Private,145045,Bachelor,Divorced,Full-time,Living with Family,Black,Female,Urban,1
45,Unemployed,35627,PhD,Widowed,Full-time,Living with Roommates,Other,Male,Suburban,0
34,Private,109914,Master,Single,Full-time,Living with Family,Asian,Male,Rural,1
37,Private,127745,PhD,Divorced,Intern,Living Alone,White,Male,Urban,1
69,Private,176249,Highschool,Divorced,Full-time,Living Alone,Black,Female,Suburban,1
58,Private,19662,PhD,Widowed,Part-time,Living with Roommates,Hispanic,Female,Urban,0
27,Private,156262,Bachelor,Widowed,Intern,Living with Family,Hispanic,Male,Urban,1
47,Unemployed,92211,Master,Married,Full-time,Living Alone,Other,Male,Suburban,1
29,Unemployed,21704,Highschool,Single,Full-time,Living with Roommates,Black,Male,Rural,0
18,Private,63095,Bachelor,Divorced,Full-time,Living with Family,White,Female,Urban,1
29,Private,83407,Master,Widowed,Part-time,Living Alone,Asian,Male,Rural,1
34,Unemployed,123635,Highschool,Single,Contract,Living with Family,Asian,Male,Urban,1
31,Unemployed,57270,Bachelor,Single,Full-time,Living Alone,Black,Male,Rural,1
35,Private,138599,Master,Married,Intern,Living with Roommates,Hispanic,Male,Suburban,1
70,Private,178201,Bachelor,Widowed,Part-time,Living with Roommates,Hispanic,Male,Rural,1
26,Government,155502,PhD,Married,Intern,Living with Roommates,Asian,Male,Rural,1
57,Unemployed,68479,PhD,Widowed,Full-time,Living with Family,Asian,Male,Rural,1
28,Private,32033,Master,Single,Part-time,Living Alone,Hispanic,Female,Urban,0
47,Self-emp,73706,Master,Divorced,Full-time,Living with Roommates,Black,Female,Rural,1
46,Unemployed,89822,Bachelor,Single,Contract,Living with Roommates,Asian,Female,Rural,1
62,Government,26098,Bachelor,Divorced,Contract,Living Alone,Black,Female,Suburban,0
44,Unemployed,19353,Highschool,Single,Contract,Living Alone,Asian,Female,Suburban,0
52,Government,154280,Bachelor,Married,Full-time,Living with Family,Other,Female,Rural,1
33,Government,129367,PhD,Divorced,Full-time,Living with Family,Hispanic,Male,Urban,1
64,Unemployed,67854,Highschool,Married,Full-time,Living Alone,Black,Male,Rural,1
49,Private,22237,Highschool,Divorced,Full-time,Living with Family,Other,Female,Rural,0
21,Government,69748,PhD,Single,Part-time,Living with Family,Other,Male,Rural,1
69,Self-emp,191928,Bachelor,Single,Part-time,Living with Family,Other,Female,Rural,1
37,Self-emp,57440,Master,Divorced,Contract,Living Alone,Hispanic,Male,Urban,1
38,Private,30231,Bachelor,Divorced,Part-time,Living with Family,Black,Female,Rural,0
38,Government,144880,Highschool,Widowed,Intern,Living Alone,Black,Male,Urban,1
37,Unemployed,158423,Master,Single,Full-time,Living Alone,Other,Female,Rural,1
28,Government,109508,Master,Single,Contract,Living with Roommates,White,Female,Suburban,1
18,Government,183541,Highschool,Single,Part-time,Living Alone,Asian,Male,Urban,1
60,Private,42817,Bachelor,Divorced,Full-time,Living with Family,White,Female,Urban,0
51,Self-emp,33061,Highschool,Married,Contract,Living with Roommates,Black,Male,Suburban,0
41,Private,128225,Highschool,Single,Contract,Living Alone,White,Male,Suburban,1
32,Unemployed,87790,PhD,Married,Full-time,Living with Roommates,White,Female,Urban,1
47,Self-emp,42348,Highschool,Widowed,Intern,Living Alone,Asian,Female,Rural,0
33,Government,158839,Master,Widowed,Contract,Living with Family,Black,Female,Suburban,1
51,Self-emp,77548,Bachelor,Widowed,Contract,Living with Family,Other,Female,Rural,1
44,Private,138837,Bachelor,Widowed,Contract,Living with Roommates,Other,Male,Urban,1
60,Unemployed,157233,Bachelor,Married,Intern,Living with Family,Hispanic,Male,Urban,1
57,Private,33889,Master,Widowed,Intern,Living with Roommates,Hispanic,Male,Urban,0
18,Government,68630,Highschool,Widowed,Intern,Living Alone,Other,Male,Urban,1
42,Private,174658,Master,Divorced,Part-time,Living Alone,Hispanic,Female,Urban,1
62,Unemployed,127329,Highschool,Single,Part-time,Living with Roommates,Asian,Female,Urban,1
43,Government,143022,Master,Married,Full-time,Living with Family,Other,Male,Rural,1
42,Self-emp,125967,Master,Married,Full-time,Living Alone,Black,Male,Urban,1
23,Self-emp,147733,PhD,Divorced,Part-time,Living with Family,Asian,Male,Suburban,1
42,Self-emp,122885,Bachelor,Widowed,Part-time,Living with Roommates,Black,Female,Rural,1
47,Self-emp,14975,Bachelor,Divorced,Full-time,Living with Family,Other,Male,Urban,0
27,Unemployed,90379,PhD,Divorced,Intern,Living Alone,Hispanic,Male,Suburban,1
65,Government,33693,Master,Married,Part-time,Living Alone,Hispanic,Male,Suburban,0
18,Self-emp,65439,Highschool,Married,Full-time,Living with Roommates,Hispanic,Male,Suburban,1
62,Government,69163,Highschool,Widowed,Full-time,Living Alone,Other,Male,Rural,1
70,Self-emp,25929,Highschool,Single,Intern,Living with Family,White,Male,Urban,0
55,Government,79703,Highschool,Single,Intern,Living with Roommates,Hispanic,Male,Urban,1
37,Private,60661,PhD,Single,Contract,Living with Roommates,Other,Male,Urban,1
36,Private,48920,PhD,Married,Contract,Living Alone,White,Male,Rural,0
32,Self-emp,32293,Master,Married,Part-time,Living with Family,Asian,Female,Rural,0
35,Self-emp,131848,PhD,Single,Contract,Living with Roommates,Black,Female,Urban,1
54,Self-emp,15296,Highschool,Widowed,Part-time,Living Alone,Asian,Female,Rural,0
50,Unemployed,105462,Master,Single,Part-time,Living with Family,Other,Female,Urban,1
19,Private,186205,Master,Divorced,Part-time,Living with Roommates,Black,Female,Rural,1
54,Private,199645,Master,Widowed,Intern,Living with Roommates,Black,Male,Rural,1
34,Unemployed,44411,PhD,Divorced,Full-time,Living Alone,Hispanic,Female,Urban,0
49,Private,11818,Bachelor,Widowed,Intern,Living Alone,White,Male,Rural,0
28,Unemployed,43481,PhD,Divorced,Intern,Living with Family,Hispanic,Male,Urban,0
60,Government,108681,Master,Single,Contract,Living with Family,Asian,Male,Urban,1
23,Unemployed,76923,Master,Single,Contract,Living Alone,Other,Male,Urban,1
39,Self-emp,119582,Master,Divorced,Full-time,Living with Family,Asian,Female,Rural,1
34,Unemployed,181665,PhD,Widowed,Part-time,Living with Roommates,White,Female,Suburban,1
21,Private,110780,Master,Married,Part-time,Living Alone,Black,Male,Rural,1
52,Self-emp,46691,PhD,Widowed,Contract,Living with Roommates,Black,Female,Rural,0
48,Self-emp,85123,Master,Widowed,Part-time,Living with Roommates,Black,Female,Urban,1
36,Government,159073,Bachelor,Married,Part-time,Living with Family,Black,Male,Rural,1
69,Self-emp,199103,Highschool,Married,Full-time,Living Alone,Hispanic,Male,Urban,1
62,Private,93718,Bachelor,Married,Contract,Living Alone,White,Male,Urban,1
69,Private,31316,Master,Married,Intern,Living with Roommates,Other,Male,Urban,0
66,Unemployed,181083,Master,Married,Part-time,Living Alone,Asian,Male,Urban,1
49,Unemployed,53925,PhD,Widowed,Part-time,Living with Family,White,Male,Rural,1
70,Government,155792,Bachelor,Divorced,Full-time,Living with Family,White,Male,Urban,1
53,Private,94056,PhD,Widowed,Intern,Living with Roommates,Other,Male,Urban,1
23,Self-emp,62375,PhD,Single,Full-time,Living Alone,Asian,Male,Suburban,1
43,Government,50414,Bachelor,Married,Part-time,Living with Roommates,Hispanic,Male,Urban,1
44,Private,146058,Master,Single,Intern,Living Alone,Other,Male,Rural,1
37,Self-emp,158888,Highschool,Widowed,Intern,Living with Roommates,Hispanic,Male,Suburban,1
34,Private,65887,Highschool,Married,Intern,Living with Family,White,Female,Urban,1
55,Self-emp,153392,Bachelor,Married,Full-time,Living with Roommates,Hispanic,Female,Urban,1
66,Private,72639,Highschool,Divorced,Contract,Living with Roommates,Black,Male,Suburban,1
53,Self-emp,182136,PhD,Married,Part-time,Living Alone,Other,Male,Urban,1
54,Private,30734,PhD,Divorced,Full-time,Living with Family,Black,Male,Rural,0
48,Government,23633,Highschool,Widowed,Contract,Living Alone,Other,Male,Urban,0
35,Private,99361,Master,Widowed,Full-time,Living with Roommates,Asian,Male,Suburban,1
26,Government,49292,Highschool,Divorced,Intern,Living with Roommates,Other,Male,Suburban,0
36,Unemployed,88130,PhD,Single,Intern,Living with Family,Black,Female,Urban,1
67,Government,129712,Highschool,Divorced,Intern,Living with Roommates,Asian,Male,Rural,1
36,Government,93084,PhD,Divorced,Part-time,Living Alone,White,Male,Rural,1
65,Unemployed,96276,Bachelor,Married,Contract,Living Alone,White,Female,Rural,1
66,Private,170201,Highschool,Single,Full-time,Living Alone,Hispanic,Male,Urban,1
60,Private,187440,PhD,Single,Full-time,Living with Family,Hispanic,Male,Rural,1
23,Private,107998,Master,Married,Intern,Living Alone,Black,Male,Suburban,1
63,Government,178260,PhD,Married,Intern,Living with Roommates,Asian,Male,Rural,1
23,Self-emp,58518,PhD,Divorced,Contract,Living with Family,White,Female,Rural,1
18,Private,110564,Master,Divorced,Contract,Living with Family,Hispanic,Male,Rural,1
44,Unemployed,131682,PhD,Single,Full-time,Living Alone,Black,Female,Suburban,1
25,Unemployed,162884,Master,Widowed,Part-time,Living with Family,White,Female,Suburban,1
49,Government,132277,Highschool,Married,Full-time,Living with Roommates,White,Female,Suburban,1
67,Unemployed,62640,Master,Single,Contract,Living Alone,Hispanic,Male,Urban,1
67,Self-emp,13227,Master,Married,Contract,Living with Family,Hispanic,Male,Suburban,0
22,Unemployed,39701,Highschool,Widowed,Full-time,Living with Family,Hispanic,Male,Rural,0
23,Government,41779,PhD,Divorced,Full-time,Living Alone,White,Male,Suburban,0
31,Unemployed,180720,Master,Single,Contract,Living with Roommates,Black,Male,Rural,1
57,Self-emp,83215,Bachelor,Single,Intern,Living Alone,White,Male,Urban,1
26,Unemployed,15092,PhD,Single,Part-time,Living with Family,Black,Female,Urban,0
35,Government,49255,Bachelor,Single,Full-time,Living with Family,Asian,Female,Suburban,0
43,Unemployed,56196,Bachelor,Divorced,Contract,Living Alone,Other,Female,Rural,1
20,Self-emp,49783,Master,Divorced,Intern,Living Alone,Asian,Female,Rural,0
61,Government,182613,PhD,Divorced,Intern,Living with Family,White,Male,Rural,1
54,Unemployed,61467,Master,Single,Part-time,Living with Roommates,Asian,Male,Suburban,1
33,Unemployed,137097,Bachelor,Divorced,Part-time,Living with Family,Hispanic,Male,Suburban,1
21,Unemployed,52184,Bachelor,Divorced,Intern,Living Alone,White,Female,Suburban,1
36,Government,49768,Bachelor,Widowed,Full-time,Living with Roommates,Other,Male,Suburban,0
35,Government,20742,Bachelor,Single,Intern,Living Alone,Other,Female,Urban,0
56,Government,76827,PhD,Divorced,Intern,Living Alone,Other,Male,Rural,1
35,Private,58281,Bachelor,Married,Full-time,Living with Roommates,White,Female,Rural,1
60,Government,20078,Highschool,Single,Part-time,Living with Roommates,Black,Male,Rural,0
60,Unemployed,117399,Highschool,Widowed,Part-time,Living with Family,Other,Female,Urban,1
41,Unemployed,178365,Master,Married,Full-time,Living with Family,Other,Female,Urban,1
33,Government,97034,Bachelor,Married,Intern,Living with Roommates,White,Male,Urban,1
70,Unemployed,191605,Bachelor,Married,Full-time,Living with Roommates,Asian,Female,Urban,1
18,Self-emp,13915,Highschool,Widowed,Contract,Living Alone,White,Female,Rural,0
67,Private,94403,Bachelor,Divorced,Full-time,Living with Roommates,White,Male,Suburban,1
20,Self-emp,38045,Highschool,Married,Contract,Living Alone,Black,Female,Urban,0
35,Unemployed,61086,PhD,Widowed,Contract,Living with Roommates,Hispanic,Female,Urban,1
55,Unemployed,113239,PhD,Divorced,Intern,Living Alone,Other,Female,Suburban,1
63,Self-emp,186586,Master,Divorced,Part-time,Living with Roommates,Hispanic,Male,Suburban,1
47,Unemployed,111757,Highschool,Single,Part-time,Living Alone,White,Female,Rural,1
34,Unemployed,13454,PhD,Single,Full-time,Living Alone,White,Female,Rural,0
65,Government,102741,Master,Widowed,Part-time,Living Alone,Asian,Male,Rural,1
23,Unemployed,58999,Highschool,Single,Intern,Living Alone,Asian,Female,Urban,1
48,Private,26507,Bachelor,Married,Full-time,Living with Roommates,Other,Female,Urban,0
41,Unemployed,169924,Highschool,Divorced,Contract,Living with Family,Asian,Male,Urban,1
53,Private,96751,Master,Single,Intern,Living with Family,Other,Female,Rural,1
19,Government,136707,Highschool,Divorced,Part-time,Living with Roommates,Hispanic,Female,Rural,1
43,Private,51907,Bachelor,Divorced,Contract,Living Alone,White,Female,Urban,1
59,Government,29706,Highschool,Single,Contract,Living Alone,White,Female,Rural,0
21,Self-emp,70052,PhD,Married,Contract,Living with Roommates,White,Female,Rural,1
43,Government,181334,Master,Single,Part-time,Living Alone,Asian,Female,Suburban,1
25,Self-emp,192663,PhD,Married,Intern,Living Alone,Other,Male,Urban,1
26,Private,84002,Master,Married,Contract,Living Alone,Asian,Female,Urban,1
44,Self-emp,32376,PhD,Widowed,Contract,Living Alone,Asian,Male,Urban,0
58,Self-emp,181441,Bachelor,Divorced,Part-time,Living Alone,White,Male,Rural,1
59,Unemployed,37044,PhD,Widowed,Contract,Living with Family,Asian,Male,Rural,0
53,Government,181693,Master,Divorced,Intern,Living with Family,White,Male,Rural,1
21,Self-emp,141339,PhD,Widowed,Full-time,Living with Family,Black,Male,Urban,1
68,Private,178322,Master,Single,Intern,Living with Roommates,Other,Female,Urban,1
61,Self-emp,140469,PhD,Widowed,Full-time,Living with Roommates,Asian,Male,Rural,1
20,Self-emp,148979,PhD,Single,Part-time,Living with Family,White,Male,Suburban,1
50,Self-emp,186649,Highschool,Widowed,Contract,Living with Roommates,Black,Female,Rural,1
53,Government,157194,Bachelor,Single,Full-time,Living with Roommates,White,Male,Rural,1
59,Self-emp,106604,PhD,Single,Intern,Living Alone,Hispanic,Female,Rural,1
67,Unemployed,34257,Bachelor,Widowed,Intern,Living with Roommates,Asian,Female,Urban,0
20,Government,63229,Highschool,Married,Part-time,Living with Family,Other,Male,Rural,1
55,Self-emp,170470,Master,Widowed,Intern,Living with Family,Black,Female,Suburban,1
60,Private,131891,PhD,Widowed,Contract,Living Alone,Black,Male,Urban,1
49,Self-emp,196397,Bachelor,Divorced,Contract,Living Alone,Hispanic,Female,Suburban,1
41,Private,152497,PhD,Married,Part-time,Living with Roommates,Asian,Male,Urban,1
67,Government,172004,Highschool,Single,Contract,Living with Roommates,Black,Female,Rural,1
21,Private,78756,Master,Widowed,Intern,Living Alone,Black,Female,Urban,1
52,Unemployed,150406,Highschool,Widowed,Part-time,Living Alone,White,Female,Urban,1
25,Unemployed,158300,Bachelor,Married,Contract,Living with Family,Hispanic,Female,Suburban,1
52,Private,91287,Highschool,Married,Contract,Living with Roommates,Other,Female,Urban,1
35,Unemployed,113088,Bachelor,Divorced,Full-time,Living with Family,Other,Male,Rural,1
51,Private,44542,Highschool,Divorced,Part-time,Living with Roommates,White,Female,Suburban,0
51,Unemployed,112878,PhD,Divorced,Intern,Living with Roommates,Other,Male,Urban,1
19,Unemployed,74895,PhD,Single,Contract,Living with Roommates,White,Female,Rural,1
34,Self-emp,18420,PhD,Married,Contract,Living Alone,White,Female,Rural,0
47,Private,105853,Highschool,Single,Part-time,Living with Family,White,Male,Urban,1
37,Private,100189,Bachelor,Divorced,Contract,Living with Roommates,Black,Female,Suburban,1
34,Private,149730,PhD,Married,Part-time,Living with Roommates,Black,Female,Rural,1
35,Private,57336,Master,Single,Intern,Living with Roommates,Other,Female,Rural,1
28,Unemployed,133511,Bachelor,Single,Contract,Living Alone,Other,Male,Rural,1
60,Private,80092,Bachelor,Widowed,Full-time,Living Alone,Asian,Male,Urban,1
53,Government,153009,Master,Widowed,Contract,Living with Roommates,White,Male,Rural,1
66,Private,104327,Highschool,Married,Part-time,Living with Family,Hispanic,Female,Urban,1
58,Private,147275,Highschool,Divorced,Part-time,Living Alone,Asian,Male,Urban,1
65,Government,104303,Master,Married,Intern,Living with Roommates,Asian,Male,Rural,1
43,Unemployed,138979,Bachelor,Single,Contract,Living with Roommates,Hispanic,Female,Urban,1
34,Unemployed,156739,Highschool,Single,Part-time,Living Alone,Hispanic,Male,Urban,1
18,Self-emp,95852,Bachelor,Divorced,Full-time,Living with Roommates,Other,Female,Suburban,1
43,Self-emp,129799,PhD,Widowed,Intern,Living Alone,Asian,Female,Rural,1
48,Government,57874,Highschool,Married,Full-time,Living Alone,Asian,Female,Suburban,1
48,Unemployed,120693,Highschool,Single,Full-time,Living Alone,Other,Male,Urban,1
19,Government,11152,Master,Single,Full-time,Living with Roommates,Other,Male,Urban,0
50,Government,101649,Bachelor,Widowed,Full-time,Living Alone,Black,Female,Rural,1
67,Government,13919,Highschool,Single,Contract,Living with Roommates,White,Male,Suburban,0
33,Private,43903,Master,Divorced,Full-time,Living with Family,Asian,Male,Rural,0
26,Unemployed,101521,Bachelor,Single,Intern,Living with Roommates,Asian,Male,Urban,1
53,Government,151993,Highschool,Widowed,Intern,Living Alone,White,Male,Suburban,1
63,Private,194663,Master,Widowed,Part-time,Living with Family,Other,Male,Urban,1
37,Unemployed,129778,Bachelor,Divorced,Contract,Living with Family,Black,Female,Suburban,1
27,Government,36237,Master,Single,Intern,Living with Family,Asian,Female,Rural,0
47,Private,80092,Highschool,Single,Part-time,Living Alone,Black,Female,Rural,1
33,Unemployed,124126,PhD,Married,Intern,Living with Roommates,White,Male,Rural,1
30,Self-emp,43818,Master,Widowed,Full-time,Living with Family,Black,Male,Rural,0
56,Government,63508,PhD,Married,Full-time,Living Alone,Asian,Female,Suburban,1
64,Unemployed,158954,Master,Widowed,Contract,Living Alone,Hispanic,Male,Rural,1
25,Private,67830,Highschool,Widowed,Contract,Living Alone,Black,Female,Rural,1
20,Self-emp,178259,Highschool,Married,Full-time,Living Alone,Asian,Male,Rural,1
48,Unemployed,49316,Master,Widowed,Part-time,Living Alone,Other,Male,Suburban,0
46,Government,107954,PhD,Divorced,Contract,Living with Roommates,Hispanic,Male,Suburban,1
19,Private,43420,Bachelor,Divorced,Contract,Living with Roommates,White,Male,Suburban,0
31,Government,168412,Highschool,Widowed,Full-time,Living with Roommates,Other,Male,Rural,1
65,Self-emp,88543,Highschool,Married,Intern,Living Alone,White,Male,Rural,1
38,Government,97480,Bachelor,Married,Part-time,Living Alone,Hispanic,Female,Rural,1
26,Government,27876,PhD,Single,Full-time,Living with Family,White,Male,Rural,0
26,Government,124784,PhD,Single,Contract,Living with Family,Other,Male,Urban,1
38,Government,58046,Highschool,Widowed,Full-time,Living with Roommates,White,Male,Urban,1
63,Government,90939,Bachelor,Married,Contract,Living with Roommates,Asian,Male,Rural,1
52,Unemployed,187734,Bachelor,Divorced,Full-time,Living with Roommates,Other,Male,Urban,1
19,Government,28087,Bachelor,Widowed,Intern,Living Alone,White,Female,Rural,0
21,Self-emp,171859,Highschool,Single,Part-time,Living Alone,Other,Female,Suburban,1
20,Self-emp,111178,Bachelor,Widowed,Intern,Living Alone,Asian,Female,Suburban,1
63,Government,37016,Bachelor,Single,Intern,Living with Family,White,Female,Suburban,0
27,Unemployed,87525,Bachelor,Single,Intern,Living with Family,Asian,Female,Rural,1
27,Private,79118,Master,Divorced,Full-time,Living with Roommates,Hispanic,Female,Urban,1
26,Unemployed,51690,PhD,Divorced,Contract,Living with Family,White,Female,Urban,1
69,Self-emp,29474,Bachelor,Divorced,Intern,Living with Family,White,Female,Urban,0
66,Private,160316,PhD,Married,Contract,Living with Family,Other,Female,Rural,1
19,Private,143649,Master,Divorced,Full-time,Living with Family,Hispanic,Female,Rural,1
62,Private,102108,Master,Single,Part-time,Living with Family,Other,Male,Urban,1
53,Government,33654,PhD,Divorced,Contract,Living with Roommates,Other,Female,Rural,0
19,Unemployed,106261,PhD,Widowed,Full-time,Living Alone,Hispanic,Male,Suburban,1
67,Private,49282,Master,Single,Full-time,Living with Family,Asian,Female,Urban,0
52,Private,11009,Master,Divorced,Intern,Living with Roommates,Other,Female,Urban,0
46,Self-emp,89502,Bachelor,Divorced,Full-time,Living with Roommates,Hispanic,Female,Rural,1
34,Unemployed,169883,Highschool,Widowed,Full-time,Living with Roommates,Asian,Female,Rural,1
40,Unemployed,183975,PhD,Divorced,Intern,Living Alone,Black,Male,Urban,1
47,Private,128635,PhD,Widowed,Contract,Living with Roommates,White,Male,Urban,1
25,Unemployed,59295,Highschool,Widowed,Contract,Living with Family,Black,Male,Rural,1
47,Private,101885,Master,Divorced,Contract,Living with Family,Black,Female,Suburban,1
19,Unemployed,174405,PhD,Married,Part-time,Living Alone,Other,Male,Suburban,1
26,Unemployed,63179,Master,Married,Contract,Living with Family,Black,Male,Urban,1
55,Private,141548,Bachelor,Married,Contract,Living with Roommates,Asian,Male,Urban,1
25,Unemployed,163776,PhD,Single,Full-time,Living with Family,Hispanic,Female,Urban,1
49,Unemployed,41004,Master,Divorced,Full-time,Living with Family,White,Female,Urban,0
47,Unemployed,32228,Bachelor,Married,Intern,Living Alone,White,Female,Rural,0
39,Private,119554,Master,Divorced,Contract,Living with Family,Hispanic,Female,Urban,1
43,Self-emp,85068,PhD,Married,Intern,Living Alone,Other,Female,Rural,1
68,Unemployed,106712,Master,Divorced,Intern,Living Alone,Black,Female,Suburban,1
44,Private,182774,Highschool,Divorced,Full-time,Living with Roommates,Asian,Male,Rural,1
19,Private,177767,Highschool,Married,Contract,Living Alone,White,Male,Urban,1
60,Private,44705,Master,Single,Full-time,Living with Family,Asian,Male,Suburban,0
47,Unemployed,85807,PhD,Widowed,Part-time,Living with Roommates,Other,Male,Suburban,1
62,Unemployed,41975,Master,Divorced,Intern,Living with Family,Hispanic,Male,Suburban,0
59,Government,108037,Highschool,Widowed,Full-time,Living Alone,White,Male,Suburban,1
28,Unemployed,87647,Highschool,Single,Part-time,Living with Roommates,Asian,Male,Suburban,1
